document_name,content,chunk_idex
java面试八股文MySQL篇.docx,"MySQL篇
前言
MySQL在面试过程中是问的比较多的，我们的开发过程中不可能不用到数据库，目前比较主流的数据库其实就是MySQL。
这里一共分了两个章节：
第一个是关于MySQL的优化，这也是面试官问的最多的，里面又分了四块内容：
1、定位慢查询；
2、SQL执行计划（SQL的分析能力）；
3、索引（具体的优化方式），这里面涉及的面试题比较多：
（1）存储引擎（对比）；
（2）索引底层数据结构（重点讲B+树）；
（3）聚簇索引和非聚簇索引（还包含了回表查询）；
（4）索引创建原则；
（5）索引失效场景（还包括我们如何去分析这个索引是否失效）。
4、SQL优化经验（相关内容）。
第二个是其他面试题，里面也包含了三个部分：
1、事务相关，事务的内容比较多，包含了事务特性、隔离级别、MVCC，我们还会讲事务的原理；
2、主从同步原理，比如现在线上搭建了一个主从，那么主节点如何跟从节点进行同步数据呢？
3、分库分表。主从解决的是高并发的问题，分库分表解决的是海量数据存储问题，也会介绍分库分表的一些拆分逻辑。
![image](/files/97b5f0b0-6b98-4918-b971-ba51ced1b5a1/file-preview)
MySQL-优化
如何定位慢查询？
前言
面试官：“在MySQL中，如何定位慢查询？”
在回答这个问题的时候，先想一下之前是否有过经验，如果有就按照之前做的经验回答就可以了，没有就需要准备一下了。
通常慢查询出现的情况：聚合查询、多表查询、表数据量过大查询、深度分页查询。表象（主要表现形式）：页面加载过慢、接口压测响应时间过长（超过1s）。
假如我们的业务就是接口比较慢，那怎么确定是SQL的问题呢？就算是SQL问题，又怎么去找这个执行慢的SQL呢？这也是面试官想听的。
通常情况下，有两种方式。",1
java面试八股文MySQL篇.docx,"假如我们的业务就是接口比较慢，那怎么确定是SQL的问题呢？就算是SQL问题，又怎么去找这个执行慢的SQL呢？这也是面试官想听的。
通常情况下，有两种方式。
方案一：开源工具
我们可以使用开源的工具进行监听或调试。
调试工具：Arthas，它可以使用命令的方式去监控已经上线的项目，可以跟踪执行比较慢的方法，然后查看方法的执行时间，最终就可以确定是哪里出现问题。
运维（监控）工具：Prometheus、Skywalking。就拿Skywalking来说，首先在这个监控中会有一些指标的数据，我们可以去实时查看接口的情况，如图所示。
![image](/files/5ec68c64-c598-4066-a04b-d4d8378c2bba/file-preview)
我们可以查看接口的响应情况，并且还做了一个排序，访问越慢的接口排越前，这时候就可以快速定位是哪个接口比较慢了。如果知道哪个接口比较慢了，在Skywalking中还提供了一个追踪功能，我们就可以详细地查看这个接口的执行情况了。
![image](/files/ed4048d2-8230-48d8-bea6-3213bf68306e/file-preview)
比如这个接口在时髦阶段耗时了多久，其中也包含了SQL的执行的耗时，如果真的是SQL执行比较久，我们就可以迅速去定位是哪个SQL执行比较慢了。
这就是使用工具去定位慢查询的方式。如果在之前的项目中使用过类似的工具，就可以给面试官阐述这些工具的使用方式，如果没使用过，我们可以看一下MySQL自带的工具。
方案二：MySQL自带慢日志
简单说就是可以把一些执行慢的SQL，记录到一个日志文件中，这样就可以快速知道是哪些SQL执行得比较慢了，当然MySQL默认是没有开启这个慢日志查询的功能的，我们需要去配置文件中配置两项内容就可以了。",2
java面试八股文MySQL篇.docx,"慢查询日志记录了所有执行时间超过指定参数（long_query_time，单位：秒，默认10秒）的所有SQL语句的日志，如果要开启慢查询日志，需要在MySQL的配置文件（/etc/my.cnf）中配置如下信息：
# 开启MySQL慢日志查询开关
（如果slow_query_log的值是1就证明开启了慢日志查询，如果是0就证明没有开启）
slow_query_log=1
# 设置慢日志的时间为2秒，SQL语句执行时间超过2秒，就会视为慢查询，记录慢查询日志
（long_query_time记录你想执行耗时多久的SQL，单位是秒，一般项目中都会设置为2秒左右，如果配置的时间太长就失去了记录的意义了。假如现在有一条SQL执行的时间超过了2秒，它就会记录在一个localhost-slow.log文件中。
![image](/files/d120c912-004f-4c6e-87f6-642da1984743/file-preview)
如图所示，在最上面可以看到这条SQL具体的执行时间，query_time就是当前这条SQL的执行耗时，最关键的是这条SQL是什么样的，这样就可以去定位慢SQL了。我们拿到这个SQL之后，就方便下一步的分析了）
long_query_time=2
配置完毕之后，通过以下指令重新启动MySQL服务器进行测试，查看慢日志文件中记录的信息/var/lib/mysql/localhost-slow.log。
总结
面试官：“如何定位慢查询？”
1、介绍一下当时产生问题的场景（比如我们当时的一个接口测试的时候非常慢，压测的结果大概5秒钟）
2、我们系统中当时采用了运维工具（Skywalking），可以监测出哪个接口（比较慢），最终确定是因为SQL的问题。",3
java面试八股文MySQL篇.docx,"3、（如果没有使用过开源工具）在mysql中开启了慢日志查询，我们设置的值就是2秒，一旦sql执行超过2秒就会记录到日志中，这样就能定位到慢SQL了（调试阶段：调试才会开启这个慢日志查询功能，一般在生产的环境下是不会开启的，因为它会损耗一些mysql的性能）
模板
面试官：“MySQL中，如何定位慢查询？”
答：“我们当时做压测的时候有的接口非常地慢，接口的响应时间超过了2秒以上，因为我们当时的系统部署了运维的监控系统Skywalking，在展示的报表中可以看到是哪一个接口比较慢，并且可以分析这个接口哪部分比较慢，这里可以看到SQL的具体的执行时间，所以可以定位是哪个sql出问题。
如果，项目中没有这种运维的监控系统，其实在MySQL中也提供了慢日志查询的功能，可以在MySQL的系统配置文件中开启这个慢日志的功能，并且也可以设置SQL执行超过多少时间来记录到一个日志文件中，我记得上一个项目配置的是2秒，只有SQL执行的时间超过2秒就会记录到日志文件中，我们就可以在日志文件找到执行比较慢的SQL了。”
一个SQL语句执行很慢，如何分析
前言
定位慢查询以后如何优化呢？优化之前有什么依据？
面试官：“那这个SQL语句执行很慢，如何分析（优化）呢？”
我们之前已经知道这条SQL语句具体长什么样，如果出现了聚合查询、多表查询的话，我们就可以想办法去优化SQL语句就行了，比如聚合查询就可以尝试新增一个临时表去解决，多表查询可以试着优化SQL语句的结构。
假如现在的情况是表数据量过大查询，可以添加索引进行优化，但是如果添加了索引，SQL执行还是很慢，接下来就要分析SQL语句了。
上面这几个慢的原因都可以通过SQL执行计划来分析具体的原因，找到这条SQL执行慢的原因。
最后一个是深度分页查询，后面讲覆盖索引时再说，现在重点关注SQL执行计划。",4
java面试八股文MySQL篇.docx,"上面这几个慢的原因都可以通过SQL执行计划来分析具体的原因，找到这条SQL执行慢的原因。
最后一个是深度分页查询，后面讲覆盖索引时再说，现在重点关注SQL执行计划。
在MySQL中提供了一些工具，可以使用EXPLAIN或者DESC命令获取MySQL如何执行SELECT语句的信息。
具体语法是这样：在一条正常的SQL语句前面加了一个EXPLAIN/DESC（直接在select语句之前加上关键字explain/desc）。如下图所示。
![image](/files/7a49be43-dc11-4250-abbe-52232d6386b7/file-preview)
在SQL语句专门加了一个“explain”就能获取当前这条SQL语句的执行计划，它展示的内容不是表中的数据，而是这条SQL执行的情况。
下面讲一下其中比较重要的字段，当然也是面试官关心的内容：
![image](/files/d3607a1a-9676-4e22-b717-aea4b0b1fb6a/file-preview)
possible_key：当前sql可能会使用到的索引；
比如图中可能会使用到的是“PRIMARY”（主键索引），possible_keys表示可能会有多个使用到的索引，但是执行的时候是否有使用到还不能确定，这时候需要其他的字段进一步确定。
key：当前sql实际命中的索引；
比如图中实际用到的索引就是“PRIMARY”。
key_len：索引占用的大小；
比如图中当前使用到的索引实际占用的大小，最终我们判断某条SQL是否用到索引，通过key、key_len两个字段来最终确定是否命中了索引。
假如已经在字段上添加了索引，也可以通过这两个字段来判断出这条SQL语句的索引是否失效。
Extra:额外的优化建议；
比如图中的是NULL，没有给任何建议，但是有的时候可以通过它获取其他的信息。",5
java面试八股文MySQL篇.docx,"假如已经在字段上添加了索引，也可以通过这两个字段来判断出这条SQL语句的索引是否失效。
Extra:额外的优化建议；
比如图中的是NULL，没有给任何建议，但是有的时候可以通过它获取其他的信息。
例如：某条SQL在使用索引的过程中是否进行了回表。里面有两个参考信息：
Using where；Using Index：查找使用了索引，需要的数据都在索引列中能找到，不需要回表查询数据；
Using index condition：查找使用了索引，但是需要回表查询数据。
关于回表这个概念，后面讲索引的时候再说，可以先理解为如果发生了“Using index condition”这种情况，就说明索引的使用是有优化空间的。
![image](/files/86f4adb6-0235-4aca-9c9e-fae78e7b5d5d/file-preview)
type：这条sql的连接的类型，性能由好到差为NULL、system、const、eq_ref、ref、range、index、all。
我们可以通过它来判断这条sql语句编写的好坏，标记常见的有NULL、system、const、eq_ref、ref、range、index、all几个值，但是注意越往左的性能越好，越往右性能越差。",6
java面试八股文MySQL篇.docx,"我们可以通过它来判断这条sql语句编写的好坏，标记常见的有NULL、system、const、eq_ref、ref、range、index、all几个值，但是注意越往左的性能越好，越往右性能越差。
下面介绍一下几个值的含义：
NULL：这条sql语句执行的时候没有使用到表，这个在平时开发中是比较少见的，无需关注；
system：查询系统中的表（这条sql语句查询的表是mysql中内置的表，性能是比较好的，但平时开发中也很少查询mysql字段的表，所以用的不多）；
const：根据主键查询（这个用的比较多，当我们用主键索引查询的时候介绍const，跟如上图所示，它就是根据主键索引查询，它的值就是const）；
eq_ref：主键索引查询或唯一索引查询（主要指的是sql的查询条件是根据主键索引查询，或者是唯一索引查询）；
ref：索引查询（指sql的查询条件是使用索引查询，但是跟eq_ref不太一样，后者是根据主键索引或唯一索引查询，只能返回一条数据，但前者是根据其他的索引查询的，比如在用户表中根据“地域”这个字段查询，“地域”这个字段是有索引的，它查询的很有可能是多条数据）；
range：范围查询（sql执行的时候，走的是索引，但是范围查询）；
index：索引树扫描（这条sql语句走的是全索引查询，会遍历整个索引树来去检索结果，但效率并不高）；
all：全盘查询（效率最低的，并且是全盘扫描数据）。
在我们实际的开发过程中，尽可能使用的是前面的连接类型，最低要求是限制在range这个字段，如果某条sql的连接类型是index或all，那么它就需要优化了。",7
java面试八股文MySQL篇.docx,"在我们实际的开发过程中，尽可能使用的是前面的连接类型，最低要求是限制在range这个字段，如果某条sql的连接类型是index或all，那么它就需要优化了。
总结
面试官：“那这个SQL语句执行很慢，如何分析呢？”
可以采用MySQL自带的分析工具EXPLAIN（其中有四个比较重要的字段需要掌握）：
1、通过key和key_len检查sql是否命中了索引（如果已经添加了索引，还可以判断索引本身存在是否有失效的情况，发现了这个问题就可以通过添加索引或者检查sql的编写就可以修复这个问题了）；
2、通过type字段查看sql是否有进一步的优化空间，是否存在全索引扫描或全盘扫描；
3、通过extra建议判断，sql是否出现了回表的情况，如果出现了，可以尝试添加索引或修改返回字段（返回值）来修复。
模板
面试官：“那这个SQL语句执行很慢，如何分析呢？”
答：“如果一条sql执行很慢的话，我们通常会使用mysql自动的执行计划explain来去查看这条sql的执行情况，比如在这里面可以通过key和key_len检查是否命中了索引，如果本身已经添加了索引，也可以判断索引是否有失效的情况，第二个，可以通过type字段查看sql是否有进一步的优化空间，是否存在全索引扫描或全盘扫描，第三个可以通过extra建议来判断，是否出现了回表的情况，如果出现了，可以尝试添加索引或修改返回字段来修复。”
索引概念及索引底层数据结构
前言
面试官：“了解过索引吗？（什么是索引）”
在实际开发中肯定是用过索引的，没用过也听说过。接下来看一下索引的定义。
概念
索引（index）是帮助MySQL高效获取数据的数据结构（有序）。",8
java面试八股文MySQL篇.docx,"接下来看一下索引的定义。
概念
索引（index）是帮助MySQL高效获取数据的数据结构（有序）。在数据之外，数据库系统还维护着满足特定查找算法的数据结构（B+树），这些数据结构以某种方式引用（指向）数据（mysql本身存储的数据），这样就可以在这些数据结构上实现高级查找算法，这种数据结构就是索引。（高效的原因）
如下图所示，有一张表里面有多条数据，我们要查询age为45的数据，也就是“灭绝”这一条数据，在没有索引的情况下，就是逐条去比对数据，先查看第一条进行比对，看看age是不是45，不是就接着往下比对，直到找到age为45这条数据，找到之后也不会停，还是会接着往下找，把整张表都遍历一遍。
![image](/files/b5ce8b2c-1e0f-417a-93b9-1a103b2f1a29/file-preview)
这个效率肯定是不高的，所以我们可以通过添加索引来提升查找的效率。比如现在里面维护了一个二叉树，当然MySQL的索引并不是这个二叉树，这里只是为了方便理解索引这个概念。
![image](/files/b0771ab6-56f3-4ede-b8ce-8b2ceedc82b8/file-preview)
如图所示，这明显是一棵二叉搜索树，左边小右边大，每个节点存储的就是表中的age，我们会单独去维护这个数据结构，有了它再去查询age为45的数据就方便多了。
首先我们先去找当前这个二叉搜索树的根节点“36”，然后拿“45”跟它比对，因为“45”比较大，所以走右边找到“48”，“45”比“48”小就走左边，这时候就定位到“45”这条数据了。
这个效率就很高了，它对比的次数明显降低了，效率当然就提升了。就索引的好处了，它就是来提升查找效率的。",9
java面试八股文MySQL篇.docx,"这个效率就很高了，它对比的次数明显降低了，效率当然就提升了。就索引的好处了，它就是来提升查找效率的。
总结一下，有两个点：
1、我们需要维护这样（二叉搜索树）的数据结构；
2、有了数据结构之后，在查找数据的时候，可以提升查找效率，减少IO的操作。
索引底层数据结构
前言
面试官可能会接着问：“索引的底层数据结构了解过吗？”
MySQL的索引使用的是B+树，并非上面的二叉树，那么为什么会是B+树呢？我们需要用其他的数据结构进行对比，比如二叉树、红黑树、B树。
数据结构对比
MySQL默认使用的索引底层数据结构是B+树。再聊B+树之前，我们先聊聊二叉树和B树。
![image](/files/7e780ddd-e4b7-49a6-a377-db659cf0ef71/file-preview)
如图所示，有一个二叉搜索树，左边大右边小；还有一个普通的二叉树，但是情况比较特殊（最坏），看一下它们的时间复杂度是多少。
二叉搜索树是相对平衡的，它的时间复杂度是O(logN)，是对数级的；二叉树的时间复杂度相对就比较差了，它退化成了一个链表，它的时间复杂度是O(n)，相对不太稳定，所以MySQL底层并没有使用二叉树。
那么可以直接使用红黑树吗？如下图所示，红黑树的特点是结点是可以保证平衡的，时间复杂度是O(logN)，相对来说就比较稳定。
![image](/files/c002810d-ef7e-428a-926a-657a3fb864b6/file-preview)
但是假如MySQL中有一张数据量比较大的表，比如1000w，因为红黑树也是一棵二叉树，每个节点只能有两个分支（子节点），如果把1000w的数据都存储在红黑树中，就会使这棵树变得特别高。
查找数据的时候依然需要去找许多层级，才能找到想要的数据，所以红黑树的效率也不高。
那么有效率高的树吗？有的，接下来我们介绍一下B树。",10
